year,state,fpl_class,disability,total,mid_acs
2019,Pennsylvania,fpl_100200,35071,507008,6.917247854077253
2019,Rhode Island,fpl_000100,2910,28009,10.389517655039452
2019,Rhode Island,fpl_100200,2105,34679,6.0699558810807694
2019,South Carolina,fpl_000100,13432,214772,6.2540740878699275
2019,South Carolina,fpl_100200,11886,264008,4.502136298900034
2019,South Dakota,fpl_000100,1385,31425,4.407319013524265
2019,South Dakota,fpl_100200,1508,43532,3.464118349719746
2019,Tennessee,fpl_000100,21046,290815,7.236903185874182
2019,Tennessee,fpl_100200,20575,335903,6.125280214823922
2019,Texas,fpl_000100,87249,1400918,6.227987648099318
2019,Texas,fpl_100200,77849,1726914,4.5079836054372135
2019,United States,fpl_000100,783719,12000470,6.530735879511386
2019,United States,fpl_100200,785187,15236318,5.153390733903033
2019,Utah,fpl_000100,4831,91433,5.28365032318747
2019,Utah,fpl_100200,6748,179565,3.757970651296188
2019,Vermont,fpl_000100,1259,11320,11.121908127208481
2019,Vermont,fpl_100200,2072,21954,9.437915641796483
2019,Virginia,fpl_000100,16724,244953,6.8274322012794295
2019,Virginia,fpl_100200,17539,314300,5.580337257397391
2019,Washington,fpl_000100,14770,196520,7.515774475880317
2019,Washington,fpl_100200,14861,300265,4.949294789602518
2019,West Virginia,fpl_000100,5681,69975,8.118613790639515
2019,West Virginia,fpl_100200,7567,90937,8.321145408359634
2019,Wisconsin,fpl_000100,10681,167605,6.372721577518571
2019,Wisconsin,fpl_100200,12913,245302,5.2641234070655765
2019,Wyoming,fpl_000100,1317,15088,8.72879109225875
2019,Wyoming,fpl_100200,1290,26078,4.946698366439144
